"""","医師_ 医師総数(人)","医師_ 医療施設 の従事者(人)","医師_ 医療施設 の従事者_病院、診療所の開設者(人)","医師_ 医療施設 の従事者_病院、診療所の勤務者(人)","医師_ 医療施設 の従事者_医育機関付属病院の勤務者(人)","医師_介護老人保健施設の従事者(人)","医師_ 医療施設･介護老人保健施設以外 の従事者(人)","医師_その他(無職含む)(人)","歯科医師_ 医師総数(人)","歯科医師_ 医療施設 の従事者(人)","歯科医師_ 医療施設 の従事者_病院、診療所の開設者(人)","歯科医師_ 医療施設 の従事者_病院、診療所の勤務者(人)","歯科医師_ 医療施設 の従事者_医育機関付属病院の勤務者(人)","歯科医師_介護老人保健施設の従事者(人)","歯科医師_ 医療施設･介護老人保健施設以外 の従事者(人)","歯科医師_その他(無職含む)(人)","薬剤師総  数(人)","薬剤師_医療施設の従事者_薬局開設者(人)","薬剤師_医療施設の従事者_薬局勤務者(人)","薬剤師_医療施設の従事者_病院、診療所の勤務者(人)","薬剤師_大学勤務者大学院生(人)","薬剤師_衛生行政機関保健衛生施設の従事者(人)","薬剤師_医薬品の 製造、販売 企業従事者(人)","薬剤師_その他(無職含む)(人)"
"平成 6年(1994年)","2189.0","2134.0","842.0","960.0","332.0","7.0","39.0","9.0","662.0","640.0","531.0","92.0","17.0","0.0","2.0","20.0","1598.0","273.0","224.0","458.0","6.0","67.0","221.0","349.0"
"平成 8年(1996年)","2320.0","2236.0","850.0","1028.0","358.0","16.0","55.0","13.0","677.0","662.0","538.0","108.0","16.0","0.0","2.0","13.0","1857.0","292.0","294.0","516.0","7.0","63.0","282.0","403.0"
"平成10年(1998年)","2382.0","2289.0","878.0","1048.0","363.0","23.0","56.0","14.0","677.0","663.0","540.0","107.0","16.0","0.0","1.0","13.0","1895.0","288.0","339.0","529.0","7.0","64.0","275.0","393.0"
"平成12年(2000年)","2472.0","2373.0","908.0","1103.0","362.0","26.0","58.0","15.0","706.0","692.0","558.0","118.0","16.0","0.0","3.0","11.0","1966.0","281.0","401.0","527.0","6.0","75.0","277.0","399.0"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"平成14年(2002年)","2548.0","2446.0","914.0","1145.0","387.0","30.0","58.0","14.0","711.0","694.0","545.0","129.0","20.0","1.0","5.0","11.0","2009.0","263.0","487.0","515.0","7.0","70.0","312.0","355.0"
"平成16年(2004年)","2602.0","2486.0","892.0","1189.0","405.0","32.0","61.0","23.0","731.0","719.0","548.0","153.0","18.0","0.0","1.0","11.0","2041.0","251.0","592.0","510.0","4.0","65.0","243.0","376.0"
"平成18年(2006年)","2647.0","2532.0","873.0","1233.0","426.0","37.0","59.0","19.0","722.0","710.0","537.0","155.0","18.0","0.0","1.0","11.0","2094.0","238.0","618.0","507.0","4.0","66.0","248.0","412.0"
"平成20年(2008年)","2720.0","2601.0","889.0","1389.0","323.0","30.0","63.0","26.0","726.0","711.0","534.0","162.0","15.0","0.0","2.0","13.0","2101.0","223.0","666.0","497.0","7.0","69.0","252.0","387.0"
"平成22年(2010年)","2712.0","2598.0","870.0","1260.0","468.0","31.0","53.0","30.0","727.0","710.0","535.0","157.0","18.0","0.0","2.0","15.0","2135.0","225.0","726.0","520.0","6.0","70.0","218.0","370.0"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"平成24年(2012年)","2765.0","2660.0","874.0","1290.0","496.0","31.0","50.0","24.0","732.0","716.0","538.0","165.0","13.0","0.0","1.0","15.0","2192.0","221.0","802.0","525.0","9.0","69.0","207.0","359.0"
